,Id,Topic,Details,Item Type,Priority,LifeCycle,BSI Ticket #,Medinix Ticket#,ITUSS /SN Ticket,Labels
0,1,Custom interface alerts,"We remember from the Admin training that we got the statement from BSI that it would be possible to create custom alert notifications for interfaces in CTMS. When we look into CTMS, we see no option to do so. 
We looked into the creation of custom alerts for type ""General"" but there is no option to customize based on alerts.",Topic,Medium,,234559,,,
1,2,Custom interface alerts,"Further more, custom alerts can only be sent to pre-defined groups, not to dedicated people. Since our support team has the Config Admin role, I think we should not send those custom alerts to everyone with this role.",Topic,Medium,,,,,
2,3,UAM Interface Errors,CTMS is generally showing interface UAM Errors when a potential role is granted in UAM but the user is not yet granted in CTMS. This does not make sense and should not show up as an error. Can this be adapted?,Story,Medium,,,,,
3,4,BizTalk Errors because of user not found,"There are a lot of BizTalk Errors in CTMS because of the user does not exist (see 2). This error showing up does also not make sense and the handling should be adapted in BizTalk. It causes a lot of Error entries in the log, making it difficult to sort out ""real"" errors.",Story,Low,,,,,
4,5,CTMS Patch 1.0.13,"Impact Assessment to be completed, 234283 has no mapped failed test case or defect",Story,Medium,,"233892 [CR]
234244 [CR
233968 [CR]
234041 [BUG]
233653 [BUG]
234105 [BUG]
234283 [BUG]
234673 [BUG]
234050 [BUG]",,,
5,6,eMail alert setttings cannot be modified,eMail alert setttings cannot be modified. This requires a CTMS System Change.,Story,Medium,,,,,
6,7,Problem with Subject Data Role-Up,"For three studies, fields cannot be modified. Ticket to be created to BSI",Bug,Medium,,234577,,IM15328906 ,
7,8,eMail notification setting disabled,eMail notification is currently not used in the system. Medinix should test on TST environment. Configurable there.,Story,High,3,,"MX#1015435
MX#1016092",SD06312427,
8,9,Recruitement Status,"For the Recruitement Status, the field is greyed out. Investigate why. Dynamic Field to be updated.",Story,Medium,,,"MX#1015176
MX#1015435
LC 3.1",SD06309362,
10,11,Change Control in Reference Trials,How to keep track of change control in reference trials? Process has to be agreed.,Topic,Medium,,,,,
11,12,Display Issue for custom report,A custom report cannot be created to view all sites for a single trial with the right address / city / country in the right sort order. Study information by study by site is required. ,Topic,Medium,,234576,,C02709262,
12,13,eTMF Interface Activiation for migrated studies,"End user is receiving an error ""eTMF Activation; It's not allowed to activate eTMF for this site because it is attached to a trial which has been created during the data migration process or through an interface. Please contact support for further assistance.""
An administrator could enable the eTMF activation.",Topic,High,,,,IM15328361 ,
13,14,Support Portal notifications,"When creating tickets in the BSI support portal, we did not receive any mail notification. Can this be setup and will we get notified for any updates in the tickets?",Topic,Low,,,,,
14,15,"Problem with Evaluation Plan ""Version"" Field","Evaluation Plan ""Version"" Field does not show the most recent version according to ""Version History"" table. Screenshot shows only 1 example, but the issue exists for several Evaluation Plans.",Bug,Medium,,234578,,IM15328995,
15,16,Display Error in User Accounts for new users,"If an administrator opens the User Accounts tab and clicks on a new user, the User Options for time zone is showing up but cannot be closed, button is not working.",Bug,Medium,,234642,,IM15362297 ,
16,17,"Display of ""Show only personal items""",Some users (CRO-CRA and co-CRO-CRA roles) have this grayed-out and others are not. I checked the assignments and they are identical. Is there another reason?,Bug,Medium,,,,,
17,18,Performance concern,Performance issue detected for users in Indy and Mannheim. Some actions are taking longer than >5 minutes to load in both locations (searching trials and searching monitoring visits),Bug,Medium,,234620,,SD06277617,
18,19,Status of User Manual bug fix,"Some users are able to launch the user manual at all times, and others who cannot when they are working within a wizard (e.g. A user was creating a trial and had questions on how to decide the subject information. They were unable to open the manual from that screen. Nothing happens when they click it.) This was documented by Sigrid that it was a bug to be fixed. Is there a status on this?",Bug,High,,234050,,,
19,20,Configuration of Excel Documents in CTMS,Maria told me today that the configuration of Excel Documents in CTMS must be repeated after every new deployment.  This impacts 7 Business (CPS Specific) documents.  Is there any way to include a change request for this configuration to be done automatically with each new deployment?,Topic,Low,,,,,
20,21,Study Deletion: Configuration Admin is not receiving any review alert of study deletions,"The CTMS Study Unique IDs, Site codes and the Investigator information is also applied for the downstream systems like Veeva Vault eTMF, Medrio EDC and RURO Limfinity systems ",Topic,Low,,,,,CMT
21,22,ITUSS Tickets: There are 2 ways?,Super Users were trained to use the ticket that was agreed in the Support Workshop. There is now an incident ticket option that has not been communicated. Who do the tickets get mapped to and how do we resolve this?,Topic,Low,,,,,
22,23,Update of Site/PI information in CTMS,Users are unable to update the detail information for a site or PI in CTMS. Options are grayed out. Does anyone have ideas as to why?,Bug,Medium,,234827,,IM15356198,
23,24,IIS/AIS Coordinator role restricts users to see only what has been assigned. They want to see all trials within their team.,A user notified me today that his team user SR in a way that let them all see each others trials within the IIS/AIS team. How can we do this with the way our system is currently setup?,Story,High,,,MX#1015767,SD06309362,
24,25,Mary McClain needs to be deleted from the system,"A Super User thought he was in TRN and created a mock person. After discussions yesterday about deleting, I didn't want to do it on my own without confirming the alert to the Config Admins would be removed as well.",Topic,Medium,,,,,
25,26,Need a way to save partial data,"An IIS user spent 1.5 hours working on the creation of a trial and due to processing error (IT Ticket submitted by me), lost all the work becuase she couldn't complete the manditory fields. Is there any way to improve the system to allow the save of partial data?",Story,Medium,,234673,,IM15338297,
26,27,"Add ""Create"" link within Employer when creating a new person.","Change Control in Reference Trials - How to keep track of change control in reference trials? Process has to be agreed.

@Anita/Roland/Dave - please prepare any outstanding questions you may have on this topic.",Story,Low,,,,,
27,28,Cannot select dates by clicking on it,Cannot select dates by clicking on it,Topic,High,,234894,,IM15361743,
28,29,Urgent eTMF problem (NOT CTMS - eTMF interface problem) for trials migrated to CTMS,"Whereas the CTMS-eTMF interface does not work for migrated studies we now also have reported cases where the users could not modify the folder structur WITHIN eTMF anymore (e.g. create a site binder) for their studies that were migrated to CTMS. When they open an eTMF ticket via IT USS, it get's closed with the instruction to set up the folders via CTMS - which is not possible due to missing functionality of CTMS - eTMF interface for migrated trials.",Topic,High,,,,,
31,32,Organization creation for users with no organization in CTMS,Michal created a new organization in PROD in order to finish the user access for new admin in Poland. Michael mentioned that this is not the appropriate process. ,Topic,Medium,,,,,
32,33,on behalf of' function in visit associated letters,Maria has corrected the 'on behalf of' function to an IF_EQUAL function in TST for confirmation letter and it worked. We need all letter templates to include this change,Story,Medium,,Ticket #234450,,,
33,34,Users modifying Trial owners and Sponsors,"Users are modifying trial owners and sponsors, which should not be done (legal info provided by Daniel Rehn is used for Public Posting). Is there a technical way to prevent this but still let people create and edit other types of organisations?",Story,Medium,,,,,
34,35,Person who is already assigned to another organization,"If there is an entry in CTMS for a person that associates it with another organization than the new request, how is the person to be approved? With the suffix [2] as in Study Registry?",Topic,Medium,,,MX#1015179 ,,
35,36,Reject Approval,"Can an approval task be rejected, e.g. Creator has reversed first and last name and created the same person with correctly name",Topic,Medium,,,,,
36,37,Approval for additional role,"If there is already an entry in CTMS for a person with the role of a PI and now there is an application for the same person for the role of a Study Coordinator (SC), what are you doing? Merge? If yes, how does it work? (E.g. Nyarko, what happens during the approval?)",Topic,Medium,,,MX#1015182,,
38,39,Organization short name,"Organizations: Where is the short name used? When update requests come in which the short name is changed, what needs to be considered, when can the requests be approved?",Topic,High,,,MX#1015184,,
39,40,Person assignment without approval,"Why can an investigator be assigned to a study, even though it has not yet been approved",Topic,Medium,,,MX#1015185,,
40,41,IIS test role in TST/VAL,"In order to test BSI patches, the IIS role would need to be reflected in the TST / VAL environments.",Topic,Medium,,,,,
41,42,Generic Accounts to Test approval process,Generic Accounts would need to be required to test approval workflows,Topic,Low,,,MX#1015186,,
42,43,"Remove ""questionnaire final"" steps in TRN",Users are creating trials in TRN in order to learn the monitoring visit report process. They are running into the issue where the questionnaire has not be set to final so they are unable to proceed. Is there a way to remove this step in TRN? Or any other suggestions?,Topic,Low,,,,,
43,44,Organization updates between RPD and RTD,"For some reasons Users keep updating this Organisation from RPD to RTD and back. further multiple trials have RPD as sponsor. we have to prevent that users keep updating this, because this is part of Study registry. Are these updates being checked by Medinix?",Bug,Low,,,,,
44,45,"Only the Clinical Trial Support and Contract Manager roles to be allowed to mark objects as ""reportable""","only the Clinical Trial Support and Contract Manager roles to be allowed to mark objects as ""reportable"" (eg PI, organization).",Story,Low,8,230059,"MX#1015464,
MX#1016498",,
45,46,Organization subtypes and definition of duplicate organizations,,Topic,Medium,,,,,
46,47,Site visit after migration - how to handle alerts,"A user forgot to create a monitoring visit in Masterfile before the freeze. In order to capture the metric, she added the visit after go-live, but now she has alerts to finalize the report. The report has already been finalized on previous template and stored in eTMF.",Topic,Low,,,,,
47,48,Error: Code mapping configuration error,"Querying the Data Provider interface causes the following error:

GET /rocheserver/api/dataprovider/trials?expand=true HTTP/1.1
Host: roche-dia-tst.bsi-ctms.com
Cache-Control: no-cache",Bug,Medium,,234889,,,
50,51,"Dashboard alert: ""The EP version tracking is missing for Qx 20xx"" for completed projects",How to turn it off for quarters where the project is already completed?,Topic,Medium,,235045,,IM15374267,
51,52,Users who want their names changed in CTMS,4 CTMS users prefer a different name_How do we make this kind of change? Directly in CTMS? Through UAM? Through ENROLL? ,Topic,High,,,,,
52,53,Partial save for questionnaire review,"If you click ""save and close"" when you are half-way through the review process of a questionnaire, it automatically ""approves"" all remaining questions. Is this correct?",Topic,High,,235118,,IM15380282,
53,54,"Alerts ""eTMF - Study Site Binder Template configuration is missing"" for RD003901 Sites USIND050 and USSEA013 are showing up on my B-Adm dashboard.",Why is it showing up on my dashboard and what is the problem? Does anyone else from this team have these alerts?,Topic,Low,,,,,
54,55,Logistics,Is there a way to import an inventory list separate from the inventory types list? The user would like to add what is available within the Indy logistics warehouse using the inventory types that are already uploaded. Any ideas?,Topic,Medium,,,,,
56,57,"""Adverse Event (Test Template)"" containing only the Header is currently in the live system","Test template Should be removed, but new template should be configured for RMS use",Bug,High,3,,"MX#1015435
MX#1016092",,
59,60,How to edit migrated visits,CRA cannot edit visit migrated from masterfile,Bug,High,,235241,,IM15396830,
60,61,Incident creation via ITUSS to IT,IT recieved incident with Primary Key mentioned but PK was from VAL not PRD and there was no mention of CTMS instance. Also it would be great to have more details in the incidents preferebly with screenshots of the issue.,Topic,Low,,,,,
62,63,Display issue for custom view in CTMS,"Site Name, Address, City, Post Code and Country does not line up properly when each address element are displayed in individual columns in a custom view",Bug,Low,,,,,
64,65,Alerts in BAdmin dashboard re: interface,Interface Veeva - Immediately,Bug,Low,,235416,,IM15392906,
65,66,Approver role not visible in Monitoring Visit Report,"In General Monitoring Visit report, when downloaded as draft, in the list for Report Sign-Off there is only name of the approver without his role. For other people like Author and Reviewer their name as well as role is visible. Role of the approver is visible in the system in the visit. Mistake in report template or possible bug? Reported by Kelly Morgan via ITUSS Request",Bug,Medium,,235366,,C02734138,
